idstd,id,COVb0,COVb1a,COVb1b,COVb2a,COVb2b,COVb2c,COVb3a,COVb4,COVc3,COVc1,COVc2a,COVc2b,COVc2c,COVc4a,COVc4b,COVc4c,COVc5,COVc6,COVd1,COVd3a,COVd3b,COVd4,COVd6,COVd8,COVe1a,COVe1b,COVe1c,COVe2,COVe3a,COVe3b,COVe3c,COVe4,COVe5,COVf1,COVf2a,COVf2b,COVf2c,COVf2d,COVf2e,COVf2f,COVf2fx,COVg2,COVh1,COVh2a,COVh2b,COVh2c,COVh2d,COVh2e,COVh2f
656051,324,Open,No,,Decrease,,30,100,Does not apply,Yes,70,Remain the same,Decrease,Decrease,Yes,Yes,No,10,0,108,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Equity finance,No,No,No,No,No,No,,,,,,,,8,,,,,,,
656052,1265,Open,Yes,6,Decrease,,20,Don't know,Does not apply,Don't know,75,Don't know,Decrease,Decrease,No,No,Yes,Don't know,0,110,Remain the same,Remain the same,,,Don't know,Remain the same,Remain the same,Remain the same,,No,Don't know,Don't know,Does not apply,No,No,,,,,,,,5,,,,,,,
656053,456,Open,No,,Remain the same,,,100,Does not apply,No,70,Decrease,Remain the same,Remain the same,No,No,No,15,0,22,Remain the same,Decrease,6,0,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,3,,,,,,,
656054,734,Open,Yes,2,Decrease,,35,100,Does not apply,No,,Remain the same,Decrease,Decrease,No,No,No,0,10,15,Remain the same,Decrease,Don't know,0,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656055,42,Open,Yes,1,Decrease,,5,100,Does not apply,No,,Remain the same,Decrease,Decrease,No,No,Yes,Don't know,40,5,Remain the same,Don't know,,,Does not apply,Remain the same,Remain the same,Don't know,,No,No,No,No,No,No,,,,,,,,4,,,,,,,
656056,830,Open,Yes,10,Decrease,,80,100,Does not apply,Yes,,Decrease,Decrease,Decrease,Yes,No,No,20,0,75,Decrease,Decrease,3,7,45,Decrease,Decrease,Remain the same,None of the above,No,Yes,No,No,No,"No, but expect to receive them in the next 3 months",Don't know,Don't know,Don't know,Don't know,Don't know,No,,3,,,,,,,
656057,45,Temporarily closed,,10,Decrease,,90,100,Does not apply,No,,Decrease,Decrease,Decrease,No,No,No,0,0,14,Decrease,Decrease,3,7,5,Decrease,Decrease,Decrease,Loans from commercial banks,Yes,Yes,No,Yes,No,"No, but expect to receive them in the next 3 months",No,Yes,Yes,Yes,No,No,,Don't know,,,,,,,
656058,748,Open,Yes,6,Decrease,,30,100,Does not apply,No,,Decrease,Decrease,Decrease,No,No,No,0,0,13,Remain the same,Don't know,,,Does not apply,Decrease,Decrease,Remain the same,None of the above,Yes,No,No,Does not apply,No,No,,,,,,,,Don't know,,,,,,,
656059,585,Open,No,,Remain the same,,,100,Remain the same,No,80,Decrease,Decrease,Decrease,No,No,No,5,15,110,Don't know,Don't know,,,Don't know,Remain the same,Decrease,Decrease,,No,No,Yes,No,No,No,,,,,,,,Don't know,,,,,,,
656060,76,Open,Yes,2,Remain the same,,,100,Does not apply,No,80,Remain the same,Remain the same,Remain the same,No,No,No,0,0,100,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,2,,,,,,,
656061,501,Open,Yes,5,Decrease,,40,100,Does not apply,No,60,Decrease,Decrease,Decrease,No,No,Yes,0,20,120,Remain the same,Decrease,Don't know,0,Don't know,Decrease,Decrease,Remain the same,None of the above,No,Yes,No,No,No,No,,,,,,,,Don't know,,,,,,,
656062,774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656063,977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656064,961,Open,No,,Decrease,,20,100,Does not apply,No,70,Remain the same,Remain the same,Remain the same,No,No,No,15,5,23,Decrease,Remain the same,10,2,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,Don't know,Does not apply,No,No,,,,,,,,Don't know,,,,,,,
656065,1242,Open,No,,Remain the same,,,80,Remain the same,No,90,Remain the same,Remain the same,Decrease,Yes,No,No,5,5,248,Remain the same,Decrease,0,5,69,Remain the same,Remain the same,Increase,,No,Yes,No,Does not apply,No,No,,,,,,,,1,,,,,,,
656066,955,Open,Yes,4,Decrease,,20,100,Does not apply,Yes,70,Decrease,Decrease,Don't know,Yes,Yes,Yes,10,Don't know,80,Decrease,Don't know,15,10,0,Decrease,Increase,Increase,Loans from commercial banks,Yes,No,No,No,No,"No, but expect to receive them in the next 3 months",No,Yes,Yes,No,Yes,No,,4,,,,,,,
656067,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656068,891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656069,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656070,577,Open,Yes,4,Decrease,,50,100,Does not apply,No,,Decrease,Decrease,Decrease,No,Yes,Yes,30,50,20,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,No,No,No,No,No,,,,,,,,10,,,,,,,
656071,950,Open,Yes,9,Decrease,,15,100,Does not apply,Yes,,Decrease,Decrease,Remain the same,Yes,Yes,Yes,30,30,215,Decrease,Decrease,Don't know,0,5,Decrease,Decrease,Decrease,Delaying payments to suppliers or workers,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,,Don't know,,,,,,,
656072,1235,Open,Yes,10,Decrease,,80,100,Does not apply,No,,Decrease,Decrease,Decrease,Yes,Yes,Yes,40,0,5,Remain the same,Don't know,,,2,Decrease,Decrease,Increase,Delaying payments to suppliers or workers,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,,Don't know,,,,,,,
656073,311,Open,Yes,8,Decrease,,Don't know (spontaneous),100,Does not apply,No,,Decrease,Decrease,Decrease,No,No,Yes,Don't know,0,19,Decrease,Remain the same,6,3,Don't know,Decrease,Remain the same,Increase,Delaying payments to suppliers or workers,Yes,Yes,No,No,No,No,,,,,,,,Don't know,,,,,,,
656074,922,Open,No,,Remain the same,,,100,Does not apply,No,,Don't know,Remain the same,Decrease,Yes,No,Yes,Don't know,0,10,Don't know,Don't know,,,Does not apply,Remain the same,Decrease,Remain the same,,No,No,No,No,No,No,,,,,,,,7,,,,,,,
656075,51,Open,Yes,2,Remain the same,,,100,Does not apply,Yes,,Remain the same,Decrease,Remain the same,Yes,No,No,0,0,25,Remain the same,Don't know,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656076,1147,Open,Yes,4,Decrease,,15,100,Does not apply,No,70,Decrease,Decrease,Decrease,No,No,No,5,0,35,Remain the same,Don't know,,,Does not apply,Decrease,Don't know,Don't know,Loands from non-banking financial institutions,No,No,No,No,No,No,,,,,,,,4,,,,,,,
656077,176,Open,Yes,2,Decrease,,40,100,Decrease,Yes,50,Decrease,Decrease,Decrease,No,No,Yes,0,50,10,Remain the same,Decrease,0,0,Does not apply,Decrease,Remain the same,Increase,Delaying payments to suppliers or workers,Yes,Yes,No,No,No,No,,,,,,,,Don't know,,,,,,,
656078,1162,Open,Yes,6,Don't know,,,Don't know,Don't know,No,65,Decrease,Decrease,Remain the same,No,No,No,8,10,150,Remain the same,Increase,,,Does not apply,Decrease,Don't know,Don't know,None of the above,No,Don't know,Don't know,No,No,No,,,,,,,,Don't know,,,,,,,
656079,521,Open,Yes,6,Decrease,,Don't know (spontaneous),100,Does not apply,No,65,Decrease,Remain the same,Remain the same,No,No,Yes,0,10,136,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,Delaying payments to suppliers or workers,No,Yes,No,No,No,No,,,,,,,,7,,,,,,,
656080,251,Open,Yes,3,Decrease,,15,100,Does not apply,No,,Remain the same,Decrease,Decrease,No,Yes,Yes,5,20,20,Remain the same,Decrease,6,0,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,No,No,Does not apply,No,No,,,,,,,,Don't know,,,,,,,
656081,988,Open,No,,Decrease,,Don't know (spontaneous),100,Does not apply,No,85,Remain the same,Remain the same,Remain the same,No,No,No,15,0,285,Remain the same,Decrease,Don't know,Don't know,Does not apply,Remain the same,Remain the same,Decrease,,No,No,No,Does not apply,No,No,,,,,,,,Don't know,,,,,,,
656082,850,Open,No,,Remain the same,,,100,Does not apply,No,85,Remain the same,Remain the same,Remain the same,Yes,No,Yes,30,10,10,Remain the same,Don't know,,,Does not apply,Remain the same,Remain the same,Decrease,,No,No,No,No,No,No,,,,,,,,8,,,,,,,
656083,296,Open,Yes,1,Remain the same,,,100,Does not apply,Yes,70,Remain the same,Remain the same,Remain the same,No,No,Yes,5,20,100,Remain the same,Remain the same,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,30,,,,,,,
656084,1260,Open,Yes,8,Decrease,,Don't know (spontaneous),100,Does not apply,Yes,35,Decrease,Decrease,Decrease,Yes,No,No,20,0,35,Remain the same,Decrease,0,0,10,Decrease,Decrease,Decrease,None of the above,No,No,No,Yes,No,No,,,,,,,,Don't know,,,,,,,
656085,137,Open,No,,Decrease,,20,100,Does not apply,No,Don't know,Remain the same,Remain the same,Remain the same,No,No,No,10,0,40,Remain the same,Don't know,,,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,Does not apply,No,No,,,,,,,,Don't know,,,,,,,
656086,994,Open,Yes,8,Decrease,,30,100,Does not apply,Yes,,Decrease,Decrease,Decrease,Yes,Yes,Yes,50,Don't know,80,Decrease,Remain the same,Don't know,15,0,Decrease,Decrease,Decrease,Don't know,Don't know,Yes,No,No,No,No,,,,,,,,Don't know,,,,,,,
656087,9,Open,Yes,10,Decrease,,80,100,Does not apply,No,,Decrease,Decrease,Decrease,No,No,No,0,0,7,Remain the same,Decrease,1,0,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,Yes,No,No,No,"No, but expect to receive them in the next 3 months",No,Yes,No,No,No,No,,20,,,,,,,
656088,401,Open,Yes,2,Decrease,,10,95,Decrease,No,,Remain the same,Decrease,Remain the same,No,Yes,Yes,20,60,65,Remain the same,Remain the same,,,Does not apply,Remain the same,Decrease,Remain the same,,Yes,Yes,No,No,No,No,,,,,,,,Don't know,,,,,,,
656089,1008,Open,No,,Decrease,,10,100,Does not apply,No,,Remain the same,Decrease,Remain the same,No,No,No,0,0,25,Remain the same,Remain the same,,,0,Decrease,Remain the same,Increase,Delaying payments to suppliers or workers,Yes,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656090,739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656091,515,Open,No,,Remain the same,,,100,Does not apply,No,90,Remain the same,Remain the same,Remain the same,No,No,No,0,0,160,Remain the same,Decrease,Don't know,0,Does not apply,Remain the same,Remain the same,Remain the same,,No,No,No,Does not apply,No,No,,,,,,,,3,,,,,,,
656092,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656093,492,Open,Yes,1,Decrease,,20,100,Does not apply,No,70,Remain the same,Decrease,Decrease,Yes,Yes,Yes,25,30,8,Remain the same,Decrease,2,0,Does not apply,Remain the same,Decrease,Remain the same,,No,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656094,469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656095,653,Open,Yes,5,Decrease,,60,100,Does not apply,Yes,50,Decrease,Decrease,Decrease,No,Yes,Yes,Don't know,30,15,Decrease,Decrease,3,4,Don't know,Decrease,Remain the same,Remain the same,None of the above,Yes,Yes,Yes,No,No,No,,,,,,,,Don't know,,,,,,,
656096,1103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656097,746,Open,No,,Decrease,,25,100,Does not apply,No,,Remain the same,Decrease,Decrease,No,No,Yes,15,25,20,Remain the same,Don't know,,,5,Decrease,Decrease,Don't know,None of the above,No,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656098,436,Open,Yes,4,Decrease,,20,60,Decrease,Yes,70,Remain the same,Remain the same,Remain the same,Yes,Yes,Yes,40,30,390,Remain the same,Decrease,150,Don't know,90,Remain the same,Decrease,Remain the same,,No,No,No,No,No,No,,,,,,,,16,,,,,,,
656099,770,Open,Yes,5,Decrease,,30,100,Does not apply,No,,Decrease,Decrease,Decrease,Yes,Yes,Yes,15,70,30,Remain the same,Decrease,Don't know,0,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,Yes,Yes,No,No,No,,,,,,,,Don't know,,,,,,,
656100,866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656101,580,Open,Yes,5,Decrease,,70,100,Does not apply,Yes,30,Decrease,Decrease,Decrease,Yes,Yes,Yes,50,50,15,Decrease,Decrease,3,3,Does not apply,Decrease,Don't know,Don't know,Delaying payments to suppliers or workers,Yes,Yes,Yes,Don't know,No,"No, but expect to receive them in the next 3 months",Don't know,Yes,Don't know,Yes,Don't know,No,,5,,,,,,,
656102,1288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656103,421,Open,Yes,4,Decrease,,50,80,Decrease,No,60,Decrease,Decrease,Decrease,No,Yes,Yes,30,50,10,Decrease,Decrease,2,0,6,Decrease,Decrease,Decrease,Delaying payments to suppliers or workers,Yes,Yes,Yes,No,No,"No, but expect to receive them in the next 3 months",No,Yes,No,Yes,No,No,,Don't know,,,,,,,
656104,888,Open,Yes,6,Decrease,,30,100,Does not apply,No,65,Decrease,Decrease,Decrease,Yes,No,No,25,20,20,Decrease,Remain the same,0,3,1,Decrease,Decrease,Remain the same,None of the above,Yes,No,No,Does not apply,No,No,,,,,,,,5,,,,,,,
656105,214,Open,Yes,2,Remain the same,,,100,Does not apply,No,80,Remain the same,Remain the same,Remain the same,No,No,No,0,0,100,Remain the same,Decrease,Don't know,4,40,Remain the same,Remain the same,Remain the same,,No,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656106,908,Open,Yes,2,Decrease,,10,100,Does not apply,No,80,Decrease,Remain the same,Decrease,Yes,Yes,Yes,25,20,245,Decrease,Remain the same,3,10,5,Decrease,Increase,Increase,None of the above,Yes,No,No,No,No,No,,,,,,,,4,,,,,,,
656107,67,Open,Yes,3,Decrease,,40,100,Does not apply,No,50,Remain the same,Decrease,Decrease,No,No,Yes,10,40,5,Remain the same,Remain the same,,,Does not apply,Decrease,Remain the same,Remain the same,None of the above,No,No,No,No,No,No,,,,,,,,Don't know,,,,,,,
656108,1052,Open,No,,Decrease,,40,100,Does not apply,Yes,80,Decrease,Decrease,Decrease,Yes,No,Yes,Don't know,Don't know,30,Remain the same,Remain the same,,,0,Decrease,Decrease,Increase,Delaying payments to suppliers or workers,Yes,No,No,No,No,"No, but expect to receive them in the next 3 months",No,No,Yes,Yes,Yes,No,,Don't know,,,,,,,
656109,1146,Open,Yes,5,Decrease,,30,100,Does not apply,No,70,Decrease,Decrease,Decrease,Yes,Yes,Yes,35,30,18,Decrease,Remain the same,0,2,1,Decrease,Increase,Increase,None of the above,Yes,No,No,No,No,No,,,,,,,,3,,,,,,,
656110,656,Open,Yes,3,Decrease,,40,100,Does not apply,No,50,Decrease,Decrease,Decrease,No,No,No,0,0,10,Remain the same,Decrease,0,0,Does not apply,Decrease,Decrease,Decrease,None of the above,No,No,No,Don't know,No,"No, but expect to receive them in the next 3 months",No,Yes,No,Yes,No,No,,7,,,,,,,
656111,65,Open,No,,Decrease,,50,100,Does not apply,No,,Decrease,Decrease,Decrease,No,No,Yes,5,10,150,Remain the same,Decrease,30,0,20,Decrease,Don't know,Don't know,None of the above,No,Yes,No,No,No,No,,,,,,,,15,,,,,,,
