idstd,panelid,year,b1,b2c,b3,b5,b8,c22b,d12a,d1a1x,d1a3,d2,d3a,f1,f2,g5a,g5b,g5bx,g6a,h1,k1c,k2c,k4,k5a,k5f,k5i,k6,k7,k8,l1,l11a,l11b,l6,l8,n2a,n2b,n2e,n2f,n2i,n3,n5a,n5b,n7a,a17,_2012_2019_BMd1a,_2012_2019_BMd1b,_2012_2019_e2b,_2012_2019_h5,_2012_2019_BMh1,_2012_2019_BMh2,_2012_2019_BMh3,_2012_2019_h9,_2012_2019_g1a,_2012_2019_k3a,_2012_2019_k3bc,_2012_2019_k3e,_2012_2019_k3f,_2012_2019_BMk3hd,_2012_2019_k5bc,_2012_2019_k5e,_2012_2019_BMk5hdj,_2019_d1a1a,_2019_h8,_2019_BMk3a,_2019_BMk3b,_2019_k5a1,_2019_k5bc1,_2019_k5i1,_2019_k5e1,_2019_k5f1,_2019_BMk5a,_2019_BMk5a1,_2019_BMk5b,_2019_BMk5b1,_2019_BMk5hdj1,_2019_BMl1a,_2019_l11a1,_2019_l11b1,_2019_n2p
656146,446143,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2006,No,Yes,30,"Retail Sale Of Electronic Devices, Such As Mobile Phones, Tablets",70,6000000,100,,,10,Square Meters,,0,No,40,0,No,,,,Yes,Yes,No,5,,,1,One month or less,Don't know (spontaneous),Don't know (spontaneous),,Don't know (spontaneous),Don't know (spontaneous),9000000,,,,Are estimates computed with some precision,Don't know (spontaneous),,Don't know (spontaneous),No,No,No,No,,Does not apply is a floor in a building (spontaneous),100,0,0,0,0,,,,Retail trade of,,0,0,,,,,,,,,,,100,,,
656387,446200,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2013,No,Yes,100,"Production Of Metal Doors, Central Heating Boilers",70,380000000,100,90,48,,,,0,No,30,40,No,,,,Yes,No,No,78,,,No full-time seasonal or temporary workers,,43400000,3500000,15000000,Don't know (spontaneous),,244000000,,,10000000,Are estimates computed with some precision,Increase,20,4,No,No,No,No,,0,60,0,0,40,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,50,,,63000000
656499,446205,2019,Shareholding company with non-traded shares or shares traded privately,0,51,2004,No,Yes,70,"Production Of Industrial Chemicals, Liquid And Solid Carbon Dioxide, Dry Ice",100,73218000,100,100,40,,,,0,No,10,20,No,,,,Yes,No,Yes,24,,,No full-time seasonal or temporary workers,,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,63423000,,,Don't know (spontaneous),Are estimates computed with some precision,Increase,15,Don't know (spontaneous),No,No,No,No,,Does not apply is a floor in a building (spontaneous),60,10,0,30,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,50,,,Don't know (spontaneous)
656469,446250,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2008,No,Yes,80,"Production Of Evening, Wedding, Prom Dresses, Coats, Suits, Jackets",99,2400000,100,75,64,,,,0,Yes,25,5,No,,,,Yes,No,No,10,,,No full-time seasonal or temporary workers,,800000,25000,900000,0,,2200000,,,1500000,Are in some case taken from books and in some case estimates,Don't know (spontaneous),,Too many to count,No,No,No,No,,0,100,0,0,0,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,,,,1900000
656308,446277,2019,Shareholding company with non-traded shares or shares traded privately,0,50,1998,Yes,Yes,100,Ice Cream Production,100,560000000,100,85,84,,,,0,No,20,30,No,,,,Yes,Yes,Yes,250,,,No full-time seasonal or temporary workers,,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,570000000,,,Don't know (spontaneous),Are estimates computed with some precision,Decrease,Don't know (spontaneous),2,No,No,No,No,,0,70,10,10,0,0,,,,Manufacturing of ,,10,0,,,,,,,,,,,50,,,Don't know (spontaneous)
656346,446279,2019,Shareholding company with non-traded shares or shares traded privately,0,50,1993,No,No,50,Retail Sale Of Fur,100,4000000,100,,,80,Square Meters,,0,No,0,0,No,,,,No,No,No,6,,,No full-time seasonal or temporary workers,,2000000,Don't know (spontaneous),,0,Don't know (spontaneous),3300000,,,,Are estimates computed with some precision,Increase,Don't know (spontaneous),Too many to count,No,No,No,No,,Does not apply is a floor in a building (spontaneous),70,20,0,10,0,,,,Retail trade of,,0,0,,,,,,,,,,,30,,,
656480,446316,2019,Shareholding company with non-traded shares or shares traded privately,0,50,2007,No,No,60,"Manufacture Of Sinks, Bathtubs",100,16657000,100,90,40,,,,0,No,20,10,No,,,,Yes,No,No,22,,,3,6,Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),Don't know (spontaneous),,16087000,,,Don't know (spontaneous),Are estimates computed with some precision,Increase,10,Too many to count,No,No,No,No,,Does not apply is a floor in a building (spontaneous),70,0,0,30,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,40,,,Don't know (spontaneous)
656086,446328,2019,Shareholding company with non-traded shares or shares traded privately,0,100,2002,No,No,90,Wholesale Of Electronic And Telecommunications Equipment,90,120000000,100,,,,,,0,No,15,20,No,,,,Yes,No,No,98,,,No full-time seasonal or temporary workers,,70000000,1000000,,1000000,,100000000,,,,Are estimates computed with some precision,Increase,5,Too many to count,No,No,No,No,,0,95,0,0,5,0,,,,Wholesale trade of,,0,0,,,,,,,,,,,20,,,
656385,446331,2019,Shareholding company with non-traded shares or shares traded privately,0,60,2005,No,Yes,100,"Production Of Machinery And Equipment For Agriculture (Plows, Seeders, Harvesting Machines, Threshing Machines, Milking Machines, Tractors).",80,42000000,100,70,40,,,,100,No,20,30,No,,,,Yes,No,No,32,,,No full-time seasonal or temporary workers,,18000000,2300000,11000000,Don't know (spontaneous),,27000000,,,15000000,Are estimates computed with some precision,Decrease,15,3,No,No,No,No,,100,80,0,0,20,0,,,,Manufacturing of ,,0,0,,,,,,,,,,,50,,,34000000
656176,446463,2019,Shareholding company with non-traded shares or shares traded privately,0,100,1998,No,No,70,"Retail Sale Of Medical Devices And Medicines, Medical Equipment, Care Products, Hygiene Products, Cosmetics.",100,78000000,100,,,60,Square Meters,,100,No,20,0,No,,,,Yes,No,No,26,,,No full-time seasonal or temporary workers,,11000000,70000,,720000,58800000,75000000,,,,Are in some case taken from books and in some case estimates,Increase,10,Too many to count,No,Yes,No,No,,Does not apply is a floor in a building (spontaneous),80,0,0,20,0,,,,Retail trade of,,0,0,,,,,,,,,,,,,,
